method,N,error,log_N,log_E
FDM,16,0.32106003232100233,1.2041199826559248,-0.4934137549218242
FDM,32,0.16115258370110302,1.505149978319906,-0.7927627272094384
FDM,64,0.09352088480417246,1.806179973983887,-1.0290913929523766
FDM,128,0.05138506197741704,2.1072099696478683,-1.2891631153173606
FDM,256,0.027189981931975846,2.4082399653118496,-1.565591081005578
FDM,512,0.014011458001702346,2.709269960975831,-1.8535166706280028
FDM,1024,0.007123172615027415,3.010299956639812,-2.147326531319396
FEM,16,0.6052031797358214,1.2041199826559248,-0.21809879886085784
FEM,32,0.052351288014296615,1.505149978319906,-1.281072628777492
FEM,64,0.025943195605242452,1.806179973983887,-1.585976529861614
FEM,128,0.012613226367423905,2.1072099696478683,-1.8991738099894735
FEM,256,0.006221770402761761,2.4082399653118496,-2.206086019368977
FEM,512,0.0031249646089775906,2.709269960975831,-2.505154896787994
FEM,1024,0.001559712078370151,3.010299956639812,-2.806955564668457
Spectral,16,0.5499528786396113,1.2041199826559248,-0.25967452036666294
Spectral,32,0.025374452725401876,1.505149978319906,-1.5956033158137513
Spectral,64,0.0013639761821392323,1.806179973983887,-2.8651932132981726
Spectral,128,4.3964379784926186e-06,2.1072099696478683,-5.356899049149442
Spectral,256,4.515766361940032e-08,2.4082399653118496,-7.345268535822589
Spectral,512,,2.709269960975831,-16.0
Spectral,1024,,3.010299956639812,-16.0
